name,strain,source,accession,date,joint_WHO_China_sample_id,addtl_annotations
hCoV-19/Shanghai/SH-P203-2-Wuhan/2020|OR240372|2020-01-29,hCoV-19/Shanghai/SH-P203-2-Wuhan/2020,genbank,OR240372,2020-01-29,,other
hCoV-19/Shanghai/SH-P211-2-Shanghai/2020|OR240380|2020-01-29,hCoV-19/Shanghai/SH-P211-2-Shanghai/2020,genbank,OR240380,2020-01-29,,other
hCoV-19/Shanghai/SH-P206-2-Shanghai/2020|OR240381|2020-01-29,hCoV-19/Shanghai/SH-P206-2-Shanghai/2020,genbank,OR240381,2020-01-29,,other
hCoV-19/Shanghai/SH-P212-A-2-Wuhan/2020|OR240382|2020-01-29,hCoV-19/Shanghai/SH-P212-A-2-Wuhan/2020,genbank,OR240382,2020-01-29,,other
hCoV-19/Shanghai/SH-P204-2-Wuhan/2020|OR240385|2020-01-29,hCoV-19/Shanghai/SH-P204-2-Wuhan/2020,genbank,OR240385,2020-01-29,,other
hCoV-19/Shanghai/SH-P228-A-2-Wuhan/2020|OR240376|2020-01-31,hCoV-19/Shanghai/SH-P228-A-2-Wuhan/2020,genbank,OR240376,2020-01-31,,other
hCoV-19/Shanghai/SH-P231-2-Shanghai/2020|OR240405|2020-01-31,hCoV-19/Shanghai/SH-P231-2-Shanghai/2020,genbank,OR240405,2020-01-31,,other
hCoV-19/Shanghai/SH-P240-2-Other-city-of-Hubei-Ezhou/2020|OR240401|2020-02-01,hCoV-19/Shanghai/SH-P240-2-Other-city-of-Hubei-Ezhou/2020,genbank,OR240401,2020-02-01,,other
hCoV-19/Shanghai/SH-P230-2-Shanghai/2020|OR240358|2020-02-03,hCoV-19/Shanghai/SH-P230-2-Shanghai/2020,genbank,OR240358,2020-02-03,,other
hCoV-19/Shanghai/SH-P205-2-Shanghai/2020|OR240361|2020-02-03,hCoV-19/Shanghai/SH-P205-2-Shanghai/2020,genbank,OR240361,2020-02-03,,other
