joint_WHO_China_sample_id,strain,accession,addtl_annotations
S01,hCoV-19/Wuhan/IPBCAMS-WH-05/2020,EPI_ISL_403928,2019 market sequence
S02,hCoV-19/Wuhan/IPBCAMS-WH-01/2019,EPI_ISL_402123,2019 market sequence
S03,hCoV-19/Wuhan/WH01/2019,EPI_ISL_406798,2019 market sequence
S04,hCoV-19/Wuhan/WIV02/2019,EPI_ISL_402127,2019 market sequence
S04,hCoV-19/Wuhan/IME-WH02/2019,EPI_ISL_529214,2019 market sequence
S04,hCoV-19/Wuhan/HBCDC-HB-02/2019,EPI_ISL_412898,2019 market sequence
S04,hCoV-19/Wuhan/IVDC-HB-GX02/2019,EPI_ISL_434534,2019 market sequence
S04,BetaCoV/Wuhan/WH19008/2019,NMDC60013002-06,2019 market sequence
S05,hCoV-19/Wuhan/IPBCAMS-WH-04/2019,EPI_ISL_403929,2019 market sequence
S05,hCoV-19/Wuhan/IVDC-HB-04/2020,EPI_ISL_402120,2019 market sequence
S05,BetaCoV/Wuhan/WH19004/2020,NMDC60013002-09,2019 market sequence
S06,Wuhan-Hu-1,MN908947.3,2019 market sequence
S06,hCoV-19/Wuhan/Hu-1/2019,EPI_ISL_402125,2019 market sequence
S07,hCoV-19/Wuhan/WHU01/2020,EPI_ISL_406716,2019 market sequence
S08,hCoV-19/Wuhan/IME-WH04/2019,EPI_ISL_529216,2019 market sequence
S08,hCoV-19/Wuhan/WIV07/2019,EPI_ISL_402130,2019 market sequence
S09,hCoV-19/Wuhan/WH03/2020,EPI_ISL_406800,2019 market sequence
S09,hCoV-19/Wuhan/WHU02/2020,EPI_ISL_406717,2019 market sequence
S10,hCoV-19/Wuhan/HBCDC-HB-03/2019,EPI_ISL_412899,2019 market sequence
S10,hCoV-19/Wuhan/IPBCAMS-WH-02/2019,EPI_ISL_403931,2019 market sequence
S10,hCoV-19/Wuhan/WIV04/2019,EPI_ISL_402124,2019 market sequence
S10,hCoV-19/Wuhan/HBCDC-HB-01/2019,EPI_ISL_402132,2019 market sequence
S11,hCoV-19/Wuhan/IPBCAMS-WH-03/2019,EPI_ISL_403930,2019 market sequence
S11,hCoV-19/Wuhan/WIV05/2019,EPI_ISL_402128,2019 market sequence
S12,hCoV-19/Wuhan/WIV06/2019,EPI_ISL_402129,2019 market sequence
S12,hCoV-19/Wuhan/IME-WH03/2019,EPI_ISL_529215,2019 market sequence
S13,hCoV-19/Wuhan/IME-WH01/2019,EPI_ISL_529213,2019 non-market sequence
,Huanan_Market_A20,Huanan_Market_A20,2020 market environment
,Huanan_Market_F13,Huanan_Market_F13,2020 market environment
,Huanan_Market_F54,Huanan_Market_F54,2020 market environment
,Huanan_Market_B5,Huanan_Market_B5,2020 market environment
