accession,strain,lineage,date,joint_WHO_China_sample_id,addtl_annotations
EPI_ISL_402123,Wuhan/IPBCAMS-WH-01/2019,B,2019-12-24,S02,2019 market sequence
EPI_ISL_406798,Wuhan/WH01/2019,B,2019-12-26,S03,2019 market sequence
MN908947.3,Wuhan-Hu-1-/2019-12-26,B,2019-12-26,S06,2019 market sequence
EPI_ISL_529217,Wuhan/IME-WH05/2019,B,2019-12-30,,other
EPI_ISL_529216,Wuhan/IME-WH04/2019,B,2019-12-30,S08,2019 market sequence
EPI_ISL_529215,Wuhan/IME-WH03/2019,B,2019-12-30,S12,2019 market sequence
EPI_ISL_529214,Wuhan/IME-WH02/2019,B,2019-12-30,S04,2019 market sequence
EPI_ISL_529213,Wuhan/IME-WH01/2019,A,2019-12-30,S13,2019 non-market sequence
EPI_ISL_434534,Wuhan/IVDC-HB-GX02/2019,B,2019-12-30,S04,2019 market sequence
EPI_ISL_412899,Wuhan/HBCDC-HB-03/2019,B,2019-12-30,S10,2019 market sequence
EPI_ISL_412898,Wuhan/HBCDC-HB-02/2019,B,2019-12-30,S04,2019 market sequence
EPI_ISL_403931,Wuhan/IPBCAMS-WH-02/2019,B,2019-12-30,S10,2019 market sequence
EPI_ISL_403930,Wuhan/IPBCAMS-WH-03/2019,B,2019-12-30,S11,2019 market sequence
EPI_ISL_403929,Wuhan/IPBCAMS-WH-04/2019,B,2019-12-30,S05,2019 market sequence
EPI_ISL_402132,Wuhan/HBCDC-HB-01/2019,B,2019-12-30,S10,2019 market sequence
EPI_ISL_402130,Wuhan/WIV07/2019,B,2019-12-30,S08,2019 market sequence
EPI_ISL_402129,Wuhan/WIV06/2019,B,2019-12-30,S12,2019 market sequence
EPI_ISL_402128,Wuhan/WIV05/2019,B,2019-12-30,S11,2019 market sequence
EPI_ISL_402127,Wuhan/WIV02/2019,B,2019-12-30,S04,2019 market sequence
EPI_ISL_402124,Wuhan/WIV04/2019,B,2019-12-30,S10,2019 market sequence
EPI_ISL_402121,Wuhan/IVDC-HB-05/2019,B,2019-12-30,,other
EPI_ISL_406800,Wuhan/WH03/2020,B,2020-01-01,S09,2019 market sequence
EPI_ISL_403928,Wuhan/IPBCAMS-WH-05/2020,B,2020-01-01,S01,2019 market sequence
EPI_ISL_402120,Wuhan/IVDC-HB-04/2020,B,2020-01-01,S05,2019 market sequence
EPI_ISL_406717,Wuhan/WHU02/2020,B,2020-01-02,S09,2019 market sequence
EPI_ISL_406716,Wuhan/WHU01/2020,B,2020-01-02,S07,2019 market sequence
EPI_ISL_514752,Beijing/Beijing-01/2020,B,2020-01-03,,other
EPI_ISL_434692,Thailand/NIH-15/2020,B,2020-01-05,,other
EPI_ISL_406801,Wuhan/WH04/2020,A,2020-01-05,,other
EPI_ISL_412459,Jingzhou/HBCDC-HB-01/2020,B,2020-01-08,,other
EPI_ISL_403962,Thailand/61/2020,B,2020-01-08,,other
EPI_ISL_406030,Guangdong/HKU-SZ-002/2020,A0,2020-01-10,,other
EPI_ISL_421252,Pingxiang/JX5/2020,B,2020-01-11,,other
EPI_ISL_408486,Jiangxi/IVDC-JX-002/2020,B,2020-01-11,,other
EPI_ISL_405839,Shenzhen/HKU-SZ-005/2020,A0,2020-01-11,,other
EPI_ISL_410301,Nepal/61/2020,B,2020-01-13,,other
EPI_ISL_406593,Shenzhen/SZTH-002/2020,A0,2020-01-13,,other
EPI_ISL_403963,Thailand/74/2020,B,2020-01-13,,other
EPI_ISL_403932,Guangdong/20SF012/2020,A0,2020-01-14,,other
EPI_ISL_408484,Sichuan/IVDC-SC-001/2020,A,2020-01-15,,other
EPI_ISL_403935,Guangdong/20SF025/2020,A0,2020-01-15,,other
EPI_ISL_403934,Guangdong/20SF014/2020,B,2020-01-15,,other
EPI_ISL_403933,Guangdong/20SF013/2020,A0,2020-01-15,,other
EPI_ISL_434693,Thailand/NIH-59/2020,B,2020-01-16,,other
EPI_ISL_406595,Shenzhen/SZTH-004/2020,B,2020-01-16,,other
EPI_ISL_406594,Shenzhen/SZTH-003/2020,B,2020-01-16,,other
EPI_ISL_404227,Zhejiang/WZ-01/2020,B,2020-01-16,,other
EPI_ISL_539333,Hunan/HN-CIDC-P2/2020,B,2020-01-17,,other
EPI_ISL_412978,Wuhan/HBCDC-HB-02/2020,A,2020-01-17,,other
EPI_ISL_408480,Yunnan/IVDC-YN-003/2020,A,2020-01-17,,other
EPI_ISL_404228,Zhejiang/WZ-02/2020,B,2020-01-17,,other
EPI_ISL_403936,Guangdong/20SF028/2020,B,2020-01-17,,other
EPI_ISL_16138328,hCoV-19/Yunnan/01/2020,A,2020-01-17,,other
EPI_ISL_412981,Wuhan/HBCDC-HB-05/2020,B.4,2020-01-18,,other
EPI_ISL_412980,Wuhan/HBCDC-HB-04/2020,A,2020-01-18,,other
EPI_ISL_412979,Wuhan/HBCDC-HB-03/2020,A,2020-01-18,,other
EPI_ISL_408485,Beijing/IVDC-BJ-005/2020,A,2020-01-18,,other
EPI_ISL_408481,Chongqing/IVDC-CQ-001/2020,B,2020-01-18,,other
EPI_ISL_403937,Guangdong/20SF040/2020,B,2020-01-18,,other
EPI_ISL_596386,USA/WA-NIH-WA1/2020,A,2020-01-19,,other
EPI_ISL_408488,Jiangsu/IVDC-JS-001/2020,B,2020-01-19,,other
EPI_ISL_408482,Shandong/IVDC-SD-001/2020,B.4,2020-01-19,,other
EPI_ISL_407313,Hangzhou/HZCDC0001/2020,B,2020-01-19,,other
EPI_ISL_404895,USA/WA-CDC-02982586-001/2020,A,2020-01-19,,other
